Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Air Blade,2012,21000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15000000
Yamaha,Nouvo,2013,100000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8500000
Honda,SH,2015,17142,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,57000000
Honda,Winner X,2019,18000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22000000
Honda,Air Blade,2023,300,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38500000
Honda,Wave,2003,52248,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12000000
Honda,SH,2016,32000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,65500000
Honda,Wave,2017,1222,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5800000
Honda,Wave,2014,30000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,10600000
RebelUSA,CBR,2011,25000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19000000
Ducati,Monster,2021,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,1,Đang cập nhật,12000000
Honda,Wave,1996,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1500000
Yamaha,Nouvo,2012,626420,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,2000000
Honda,SH,2013,59000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,79000000
Honda,SH,2015,888,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,59500000
Honda,Wave,2002,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9300000
Yamaha,Grande,2016,19116,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20500000
Yamaha,Mio,2007,500000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5000000
Honda,PCX,2018,9500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1234567
Honda,Wave,2015,2000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,12900000
Yamaha,Exciter,2022,5999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22500000
Honda,Cub,1996,1999,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,10800000
Honda,PS,2007,58000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28800000
Honda,Wave,2000,15000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,49999999
Honda,PS,2009,52000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22500000
