Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,Exciter,2011,1000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.000.000 đ
Hãng khác,Dòng khác,2022,200,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.000.000 đ
Piaggio,Liberty,2011,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Honda,Air Blade,2018,38000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28.500.000 đ
Honda,Dream,1995,200000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19.000.000 đ
Yamaha,Grande,2016,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,21.000.000 đ
Honda,Vision,2020,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26.800.000 đ
Honda,Wave,2012,23000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.900.000 đ
Honda,SH,2006,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,48.000.000 đ
Honda,SH Mode,2016,15555,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.800.000 đ
Piaggio,Vespa,2016,20,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,29.900.000 đ
Yamaha,R,2019,18000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,35.500.000 đ
Yamaha,Nvx,2018,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32.000.000 đ
Honda,Wave,2009,39000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,10.200.000 đ
Yamaha,Exciter,2015,12,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.200.000 đ
Honda,Wave,2018,28000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,9.500.000 đ
Honda,Spacy,2011,25689,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.300.000 đ
Honda,Winner,2020,23000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.000.000 đ
Honda,Air Blade,2021,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,47.500.000 đ
Honda,Wave,2023,100000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.000.000 đ
Suzuki,Impulse,2016,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.700.000 đ
Honda,Wave,2022,2560,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.500.000 đ
Honda,SH,2009,12345,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,44.000.000 đ
Honda,Vision,2018,14,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.600.000 đ
Honda,Wave,2016,40000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.500.000 đ
Honda,Air Blade,2010,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.800.000 đ
Honda,@,2004,100000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
Hãng khác,Dòng khác,2011,25487,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.000.000 đ
Yamaha,Exciter,2013,12345,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22.300.000 đ
Suzuki,Hayate,2011,21854,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.200.000 đ
Honda,Wave,2013,23000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.500.000 đ
SYM,Dòng khác,2014,54000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.900.000 đ
Honda,Winner X,2022,2400,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.800.000 đ
Honda,Air Blade,2022,3500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,37.000.000 đ
Honda,Wave,2007,40000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
GPX,Demon 150GN,2022,800,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.500.000 đ
Honda,Wave,2008,6789,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,10.800.000 đ
Honda,Winner,2016,3939,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.500.000 đ
Piaggio,Beverly,trước năm 1980,123456,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,4.490.000 đ
Honda,Wave,2000,36789,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,46.000.000 đ
Yamaha,Grande,2020,9500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30.000.000 đ
Honda,SH,2012,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.500.000 đ
Suzuki,Viva,2000,7777,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
